entry_id,user_email,text,datetime,first_name,last_name
e6a39552-8f5f-42a6-b357-63ff47505cb1,ohadbuskile@mentis.com,"Woke up with a familiar sense of dread. The day felt like a mountain I couldn't climb.",2025-06-08T08:15:11.433993,Ohad,Buskile
54c3175d-5326-4e7b-8536-86ffe9478707,ilanagofman@mentis.com,"Started the morning with a quiet coffee and some journaling. The stillness helped me feel grounded.",2025-06-09T09:05:37.433993,Ilana,Gofman
1fcf110f-c37e-48e7-aaf8-77dbfa907d89,ohadbuskile@mentis.com,"The smallest tasks felt monumental. Ended up avoiding everything and everyone.",2025-06-10T11:30:45.433993,Ohad,Buskile
aacb6348-a327-46c0-a19b-7c4e65aabcda,ilanagofman@mentis.com,"Went for a sunset walk and let the breeze hit my face. Unexpectedly smiled, just feeling okay.",2025-06-11T18:45:22.433993,Ilana,Gofman
5e37e717-5298-41e4-8e2c-059b581f44c3,ohadbuskile@mentis.com,"A wave of anxiety hit me in the afternoon. My heart was pounding for no reason.",2025-06-12T15:05:19.433993,Ohad,Buskile
77e27109-6b9e-4c12-a877-c193c8d4454a,ilanagofman@mentis.com,"Met up with an old friend and laughed over lunch. The conversation flowed easily and I left feeling seen.",2025-06-13T13:10:00.433993,Ilana,Gofman
b93d49d2-d138-4f21-b875-5c3495d91917,ohadbuskile@mentis.com,"Felt completely disconnected from everything. Just went through the motions with a sense of emptiness.",2025-06-14T20:12:37.433993,Ohad,Buskile
5ceff5a8-b60d-47a3-b6ce-1c9c3aeeb736,ilanagofman@mentis.com,"The day passed without much to note. Completed my work and kept to myself. A neutral kind of quiet.",2025-06-15T16:50:55.433993,Ilana,Gofman
7c4c7c62-f139-4cb1-ad36-269c3f5bfc44,ohadbuskile@mentis.com,"Tried to be productive, but my mind was a fog. Frustration is an understatement.",2025-06-16T14:44:09.433993,Ohad,Buskile
b5775f5f-eca8-4764-9764-d20f05414a6d,ilanagofman@mentis.com,"Spent some time in the garden this afternoon. The simple act of tending to plants was calming.",2025-06-17T15:00:18.433993,Ilana,Gofman
abdbfed2-e57e-46bc-887e-bf2eaa8163c3,ohadbuskile@mentis.com,"Social interactions felt draining. I put on a brave face, but inside I was crumbling.",2025-06-18T19:20:41.433993,Ohad,Buskile
